ID,taskA,taskB,Usability,Usefulness,UseVisualization,SelfConfidence
1,taskA_3qbv9hxal,taskB_fq1lytz4r,4,4,1,5
2,taskA_a6qmmm5au,taskB_v9m39dk1e,3,3,1,3
3,taskA_66bh08edy,taskB_kj35tnlxt,3,3,1,7
4,taskA_mzh3niiiy,taskB_1fkwy8yc9,3,3,1,3
5,taskA_lgki9kyv7,taskB_5jrd29snd,4,4,1,2
6,taskA_59wtopkxz,taskB_mf8e9fi8c,4,2,1,3
7,taskA_7eccfij37,taskB_zptb5ir3t,4,3,1,3
8,taskA_c3ulumw8h,taskB_8vx6ou37b,3,4,1,2
9,taskA_5pxdx30jn,taskB_uj8xbw8f0,4,4,1,4
10,taskA_pg00yjnn2,taskB_7xxxro6uz,2,4,1,2
11,taskA_a75r5q0so,taskB_bh7rnbwpq,4,4,1,6
12,taskA_fty5syi8e,taskB_su4d3iybe,5,5,1,8
13,taskA_tk2uu8jd7,taskB_fi6on6b9b,2,2,1,1
14,taskA_pwl73z2il,taskB_4uyhuqpxd,4,2,1,2
15,taskA_csli5ff7t,taskB_nut1d9cip,4,5,1,3
16,taskA_7g66itslu,taskB_gcq69qi8s,3,3,1,2
17,taskA_5ca8kvgkg,taskB_lggv5wcs0,4,4,1,2
18,taskA_v4yw7ncwv,taskB_00p7058bk,2,2,1,2
19,taskA_ooubfrt9m,taskB_xovg9c4eu,4,4,1,6
20,taskA_jg188t3fs,taskB_k94n3s73t,4,4,1,3
21,taskA_g2aqj7cec,taskB_s4o7tdqqs,4,3,1,2
22,taskA_oi5kk8chj,taskB_b562ofg9f,2,2,1,3
23,taskA_ukpy5i5ei,taskB_zv2jt4viw,3,3,1,3
24,taskA_bdhtg77v2,taskB_x795jpdb3,4,4,1,3
25,taskA_uziabfbk1,taskB_98xa7p5se,4,3,1,8
26,taskA_prkgbinb0,taskB_1l5li1a8x,5,5,1,5
27,taskA_flrp6uikd,taskB_gmhakiqw1,5,5,1,8
28,taskA_ghfuq2u9e,taskB_oza8au5km,0,0,1,0
29,taskA_5saejf2zs,taskB_sk05sm71j,0,0,0,0
30,taskA_lw5m8kt19,taskB_tpmxlikun,0,0,0,0
31,taskA_xei2xhw6a,taskB_pe3456gbh,0,0,0,0
32,taskA_e0dpgss2j,taskB_acyhqratq,0,0,0,0
33,taskA_phts085o8,taskB_peew050ab,0,0,0,0
34,taskA_iws6iycgm,taskB_9v2p9by9p,0,0,0,0
35,taskA_o107n6i94,taskB_2zcho17r9,0,0,0,0
36,taskA_fg80rnom3,taskB_3qosd4j5p,0,0,0,0
37,taskA_0v6t41qau,taskB_s6nn4lr7l,0,0,0,0
38,taskA_pe1frolbj,taskB_ypch14cs1,0,0,0,0
39,taskA_cmogo36cr,taskB_yg454w9e9,0,0,0,0
