taskID,tool_condition
taskA_c3ulumw8h,with_tool
taskA_3qbv9hxal,with_tool
taskA_59wtopkxz,with_tool
taskA_5ca8kvgkg,with_tool
taskA_5pxdx30jn,with_tool
taskA_66bh08edy,with_tool
taskA_7eccfij37,with_tool
taskA_7g66itslu,with_tool
taskA_a6qmmm5au,with_tool
taskA_a75r5q0so,with_tool
taskA_bdhtg77v2,with_tool
taskA_csli5ff7t,with_tool
taskA_flrp6uikd,with_tool
taskA_fty5syi8e,with_tool
taskA_g2aqj7cec,with_tool
taskA_ghfuq2u9e,with_tool
taskA_jg188t3fs,with_tool
taskA_lgki9kyv7,with_tool
taskA_mzh3niiiy,with_tool
taskA_oi5kk8chj,with_tool
taskA_ooubfrt9m,with_tool
taskA_pg00yjnn2,with_tool
taskA_prkgbinb0,with_tool
taskA_pwl73z2il,with_tool
taskA_tk2uu8jd7,with_tool
taskA_ukpy5i5ei,with_tool
taskA_uziabfbk1,with_tool
taskA_v4yw7ncwv,with_tool
taskB_00p7058bk,with_tool
taskB_1fkwy8yc9,with_tool
taskB_1l5li1a8x,with_tool
taskB_4uyhuqpxd,with_tool
taskB_5jrd29snd,with_tool
taskB_7xxxro6uz,with_tool
taskB_8vx6ou37b,with_tool
taskB_98xa7p5se,with_tool
taskB_b562ofg9f,with_tool
taskB_bh7rnbwpq,with_tool
taskB_fi6on6b9b,with_tool
taskB_fq1lytz4r,with_tool
taskB_gcq69qi8s,with_tool
taskB_gmhakiqw1,with_tool
taskB_k94n3s73t,with_tool
taskB_kj35tnlxt,with_tool
taskB_lggv5wcs0,with_tool
taskB_mf8e9fi8c,with_tool
taskB_nut1d9cip,with_tool
taskB_oza8au5km,with_tool
taskB_s4o7tdqqs,with_tool
taskB_su4d3iybe,with_tool
taskB_uj8xbw8f0,with_tool
taskB_v9m39dk1e,with_tool
taskB_x795jpdb3,with_tool
taskB_xovg9c4eu,with_tool
taskB_zptb5ir3t,with_tool
taskB_zv2jt4viw,with_tool
taskA_5saejf2zs,without_tool
taskA_lw5m8kt19,without_tool
taskA_phts085o8,without_tool
taskA_o107n6i94,without_tool
taskA_e0dpgss2j,without_tool
taskA_0v6t41qau,without_tool
taskA_pe1frolbj,without_tool
taskA_cmogo36cr,without_tool
taskA_xei2xhw6a,without_tool
taskA_fg80rnom3,without_tool
taskA_iws6iycgm,without_tool
taskB_sk05sm71j,without_tool
taskB_peew050ab,without_tool
taskB_tpmxlikun,without_tool
taskB_2zcho17r9,without_tool
taskB_s6nn4lr7l,without_tool
taskB_acyhqratq,without_tool
taskB_yg454w9e9,without_tool
taskB_ypch14cs1,without_tool
taskB_pe3456gbh,without_tool
taskB_9v2p9by9p,without_tool
taskB_3qosd4j5p,without_tool
