participant_id,taskA_ID,taskB_ID,usability_score,taskA_f1_graph,taskA_f1_function,taskB_f1_graph,taskB_f1_function
1,taskA_3qbv9hxal,taskB_fq1lytz4r,4,0.55,0.67,0.53,0.67
2,taskA_a6qmmm5au,taskB_v9m39dk1e,3,0.33,0.67,0.63,0.8
3,taskA_66bh08edy,taskB_kj35tnlxt,3,0.67,0.8,0.53,0.5
4,taskA_mzh3niiiy,taskB_1fkwy8yc9,3,0.22,0.36,0.14,0.67
5,taskA_lgki9kyv7,taskB_5jrd29snd,4,0.71,0.55,0.27,0.8
6,taskA_59wtopkxz,taskB_mf8e9fi8c,4,0.77,0.4,0.63,0.8
7,taskA_7eccfij37,taskB_zptb5ir3t,4,0.5,0.77,0.59,0.4
8,taskA_c3ulumw8h,taskB_8vx6ou37b,3,0.22,0.8,0.29,0.5
9,taskA_5pxdx30jn,taskB_uj8xbw8f0,4,0.5,0.5,0.4,0.5
10,taskA_pg00yjnn2,taskB_7xxxro6uz,2,0.5,0.46,0.63,0.8
11,taskA_a75r5q0so,taskB_bh7rnbwpq,4,0.0,0.67,0.29,0.73
12,taskA_fty5syi8e,taskB_su4d3iybe,5,0.77,0.73,0.59,0.67
13,taskA_tk2uu8jd7,taskB_fi6on6b9b,2,0.2,0.77,0.43,0.5
14,taskA_pwl73z2il,taskB_4uyhuqpxd,4,0.55,0.91,0.53,0.62
15,taskA_csli5ff7t,taskB_nut1d9cip,4,0.67,0.46,0.17,0.0
16,taskA_7g66itslu,taskB_gcq69qi8s,3,0.67,0.77,0.53,0.5
17,taskA_5ca8kvgkg,taskB_lggv5wcs0,4,0.43,0.8,0.25,0.5
18,taskA_v4yw7ncwv,taskB_00p7058bk,2,0.0,0.0,0.0,0.0
19,taskA_ooubfrt9m,taskB_xovg9c4eu,4,0.55,0.91,0.63,0.62
20,taskA_jg188t3fs,taskB_k94n3s73t,4,0.67,0.91,0.63,0.8
21,taskA_g2aqj7cec,taskB_s4o7tdqqs,4,0.5,0.91,0.63,1.0
22,taskA_oi5kk8chj,taskB_b562ofg9f,2,0.2,0.67,0.29,0.55
23,taskA_ukpy5i5ei,taskB_zv2jt4viw,3,0.17,0.55,0.24,0.67
24,taskA_bdhtg77v2,taskB_x795jpdb3,4,0.67,0.91,0.5,0.62
25,taskA_uziabfbk1,taskB_98xa7p5se,4,0.57,1.0,0.43,0.5
26,taskA_prkgbinb0,taskB_1l5li1a8x,5,0.36,0.6,0.4,0.67
27,taskA_flrp6uikd,taskB_gmhakiqw1,5,0.0,0.25,0.0,0.67
28,taskA_ghfuq2u9e,taskB_oza8au5km,0,0.71,0.0,0.38,0.36
