taskID,tool,time_to_final_f1,time_to_final_text,precision,recall,F1
taskA_0v6t41qau,without_tool,1,1,0.0,0.0,0.0
taskA_3qbv9hxal,with_tool,17,33,1.0,0.38,0.55
taskA_59wtopkxz,with_tool,16,28,1.0,0.63,0.77
taskA_5ca8kvgkg,with_tool,21,29,0.5,0.38,0.43
taskA_5pxdx30jn,with_tool,26,41,0.75,0.38,0.5
taskA_5saejf2zs,without_tool,19,31,0.71,0.63,0.67
taskA_66bh08edy,with_tool,15,18,1.0,0.5,0.67
taskA_7eccfij37,with_tool,20,31,0.75,0.38,0.5
taskA_7g66itslu,with_tool,26,29,1.0,0.5,0.67
taskA_a6qmmm5au,with_tool,29,31,0.5,0.25,0.33
taskA_a75r5q0so,with_tool,1,31,0.0,0.0,0.0
taskA_bdhtg77v2,with_tool,18,29,1.0,0.5,0.67
taskA_c3ulumw8h,with_tool,25,31,1.0,0.38,0.55
taskA_cmogo36cr,without_tool,26,31,0.75,0.38,0.5
taskA_csli5ff7t,with_tool,29,127,0.57,0.5,0.53
taskA_e0dpgss2j,without_tool,27,32,0.67,0.5,0.57
taskA_fg80rnom3,without_tool,30,38,0.14,0.25,0.18
taskA_flrp6uikd,with_tool,1,31,0.0,0.0,0.0
taskA_fty5syi8e,with_tool,20,83,1.0,0.63,0.77
taskA_g2aqj7cec,with_tool,12,14,0.75,0.38,0.5
taskA_ghfuq2u9e,with_tool,23,35,0.83,0.63,0.71
taskA_iws6iycgm,without_tool,10,20,0.57,0.5,0.53
taskA_jg188t3fs,with_tool,8,31,1.0,0.5,0.67
taskA_lgki9kyv7,with_tool,27,32,0.83,0.63,0.71
taskA_lw5m8kt19,without_tool,29,31,0.46,0.75,0.57
taskA_mzh3niiiy,with_tool,22,28,1.0,0.13,0.22
taskA_o107n6i94,without_tool,25,280,0.83,0.63,0.71
taskA_oi5kk8chj,with_tool,13,30,0.5,0.13,0.2
taskA_ooubfrt9m,with_tool,16,451,1.0,0.38,0.55
taskA_pe1frolbj,without_tool,22,55,0.75,0.38,0.5
taskA_pg00yjnn2,with_tool,24,42,0.75,0.38,0.5
taskA_phts085o8,without_tool,30,30,0.6,0.38,0.46
taskA_prkgbinb0,with_tool,10,31,0.67,0.25,0.36
taskA_pwl73z2il,with_tool,27,28,1.0,0.38,0.55
taskA_tk2uu8jd7,with_tool,25,29,0.5,0.13,0.2
taskA_ukpy5i5ei,with_tool,1,31,0.0,0.0,0.0
taskA_uziabfbk1,with_tool,21,35,0.67,0.5,0.57
taskA_v4yw7ncwv,with_tool,1,63,0.0,0.0,0.0
taskA_xei2xhw6a,without_tool,24,25,1.0,0.5,0.67
taskB_00p7058bk,with_tool,1,215,0.0,0.0,0.0
taskB_1fkwy8yc9,with_tool,16,30,0.33,0.09,0.14
taskB_1l5li1a8x,with_tool,28,30,0.75,0.27,0.4
taskB_2zcho17r9,without_tool,22,284,1.0,0.45,0.63
taskB_3qosd4j5p,without_tool,16,18,0.5,0.27,0.35
taskB_4uyhuqpxd,with_tool,16,25,1.0,0.36,0.53
taskB_5jrd29snd,with_tool,22,31,0.5,0.18,0.27
taskB_7xxxro6uz,with_tool,18,31,1.0,0.45,0.63
taskB_8vx6ou37b,with_tool,19,33,0.67,0.18,0.29
taskB_98xa7p5se,with_tool,27,31,1.0,0.27,0.43
taskB_9v2p9by9p,without_tool,28,32,0.75,0.55,0.63
taskB_acyhqratq,without_tool,21,33,0.67,0.36,0.47
taskB_b562ofg9f,with_tool,15,30,0.67,0.18,0.29
taskB_bh7rnbwpq,with_tool,20,25,0.67,0.18,0.29
taskB_fi6on6b9b,with_tool,23,28,1.0,0.27,0.43
taskB_fq1lytz4r,with_tool,4,8,1.0,0.36,0.53
taskB_gcq69qi8s,with_tool,24,30,1.0,0.36,0.53
taskB_gmhakiqw1,with_tool,1,31,0.0,0.0,0.0
taskB_k94n3s73t,with_tool,14,31,1.0,0.45,0.63
taskB_kj35tnlxt,with_tool,14,30,1.0,0.36,0.53
taskB_lggv5wcs0,with_tool,31,31,0.4,0.18,0.25
taskB_mf8e9fi8c,with_tool,11,37,1.0,0.45,0.63
taskB_nut1d9cip,with_tool,26,35,1.0,0.09,0.17
taskB_oza8au5km,with_tool,30,35,0.6,0.27,0.37
taskB_pe3456gbh,without_tool,15,28,1.0,0.18,0.31
taskB_peew050ab,without_tool,21,31,0.67,0.18,0.29
taskB_s4o7tdqqs,with_tool,33,193,1.0,0.45,0.63
taskB_s6nn4lr7l,without_tool,39,42,0.67,0.18,0.29
taskB_sk05sm71j,without_tool,15,33,1.0,0.36,0.53
taskB_su4d3iybe,with_tool,15,33,0.83,0.45,0.59
taskB_tpmxlikun,without_tool,19,33,1.0,0.27,0.43
taskB_uj8xbw8f0,with_tool,7,30,0.75,0.27,0.4
taskB_v9m39dk1e,with_tool,18,23,1.0,0.45,0.63
taskB_x795jpdb3,with_tool,27,30,0.8,0.36,0.5
taskB_xovg9c4eu,with_tool,23,489,1.0,0.45,0.63
taskB_yg454w9e9,without_tool,24,31,0.83,0.45,0.59
taskB_ypch14cs1,without_tool,20,30,0.8,0.36,0.5
taskB_zptb5ir3t,with_tool,28,44,0.83,0.45,0.59
taskB_zv2jt4viw,with_tool,30,32,0.33,0.18,0.24
