task_type,task_id,tool,timestamp,precision,recall,f1
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:30:03.792336+00:00,0.0,0.0,0.0
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:31:04.516358+00:00,0.0,0.0,0.0
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:32:04.331864+00:00,0.0,0.0,0.0
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:33:03.774053+00:00,0.0,0.0,0.0
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:34:03.766636+00:00,0.0,0.0,0.0
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:35:03.786072+00:00,0.0,0.0,0.0
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:36:04.339724+00:00,0.0,0.0,0.0
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:37:03.781566+00:00,0.0,0.0,0.0
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:38:03.760227+00:00,0.0,0.0,0.0
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:39:03.771326+00:00,0.0,0.0,0.0
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:40:03.768601+00:00,1.0,0.125,0.2222222222222222
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:41:03.762720+00:00,1.0,0.125,0.2222222222222222
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:42:04.397005+00:00,1.0,0.125,0.2222222222222222
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:43:03.762645+00:00,1.0,0.125,0.2222222222222222
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:44:03.769321+00:00,1.0,0.25,0.4
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:45:03.772053+00:00,1.0,0.25,0.4
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:46:03.770306+00:00,1.0,0.25,0.4
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:47:03.767863+00:00,1.0,0.25,0.4
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:48:04.454811+00:00,1.0,0.25,0.4
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:49:03.768962+00:00,1.0,0.25,0.4
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:50:03.787321+00:00,1.0,0.25,0.4
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:51:03.766451+00:00,1.0,0.25,0.4
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:52:03.774488+00:00,1.0,0.25,0.4
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:53:03.774774+00:00,1.0,0.25,0.4
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:54:03.779807+00:00,1.0,0.375,0.5454545454545454
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:55:03.769868+00:00,0.75,0.375,0.5
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:56:03.790980+00:00,0.75,0.375,0.5
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:57:03.765720+00:00,0.75,0.375,0.5
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:58:03.769220+00:00,0.75,0.375,0.5
A,taskA_5pxdx30jn,with_tool,2025-07-10T05:59:04.473344+00:00,0.75,0.375,0.5
A,taskA_5pxdx30jn,with_tool,2025-07-10T06:00:03.768484+00:00,0.75,0.375,0.5
A,taskA_5pxdx30jn,with_tool,2025-07-10T06:01:04.346913+00:00,0.75,0.375,0.5
A,taskA_5pxdx30jn,with_tool,2025-07-10T06:02:05.342173+00:00,0.75,0.375,0.5
A,taskA_5pxdx30jn,with_tool,2025-07-10T06:03:06.350192+00:00,0.75,0.375,0.5
A,taskA_5pxdx30jn,with_tool,2025-07-10T06:04:07.423365+00:00,0.75,0.375,0.5
A,taskA_5pxdx30jn,with_tool,2025-07-10T06:05:08.354479+00:00,0.75,0.375,0.5
A,taskA_5pxdx30jn,with_tool,2025-07-10T06:06:03.776804+00:00,0.75,0.375,0.5
A,taskA_5pxdx30jn,with_tool,2025-07-10T06:07:03.783989+00:00,0.75,0.375,0.5
A,taskA_5pxdx30jn,with_tool,2025-07-10T06:08:03.778049+00:00,0.75,0.375,0.5
A,taskA_5pxdx30jn,with_tool,2025-07-10T06:09:03.785995+00:00,0.75,0.375,0.5
A,taskA_5pxdx30jn,with_tool,2025-07-10T06:10:03.772838+00:00,0.75,0.375,0.5
