task_type,task_id,tool,timestamp,precision,recall,f1
A,taskA_7eccfij37,with_tool,2025-07-10T04:56:12.113242+00:00,0.0,0.0,0.0
A,taskA_7eccfij37,with_tool,2025-07-10T04:57:12.111534+00:00,0.0,0.0,0.0
A,taskA_7eccfij37,with_tool,2025-07-10T04:58:12.110658+00:00,0.0,0.0,0.0
A,taskA_7eccfij37,with_tool,2025-07-10T04:59:12.145933+00:00,0.0,0.0,0.0
A,taskA_7eccfij37,with_tool,2025-07-10T05:00:12.139686+00:00,0.0,0.0,0.0
A,taskA_7eccfij37,with_tool,2025-07-10T05:01:12.132560+00:00,1.0,0.125,0.2222222222222222
A,taskA_7eccfij37,with_tool,2025-07-10T05:02:12.119091+00:00,1.0,0.125,0.2222222222222222
A,taskA_7eccfij37,with_tool,2025-07-10T05:03:12.380625+00:00,1.0,0.125,0.2222222222222222
A,taskA_7eccfij37,with_tool,2025-07-10T05:04:12.131558+00:00,1.0,0.125,0.2222222222222222
A,taskA_7eccfij37,with_tool,2025-07-10T05:05:12.178217+00:00,1.0,0.125,0.2222222222222222
A,taskA_7eccfij37,with_tool,2025-07-10T05:06:12.124782+00:00,1.0,0.125,0.2222222222222222
A,taskA_7eccfij37,with_tool,2025-07-10T05:07:12.134503+00:00,1.0,0.25,0.4
A,taskA_7eccfij37,with_tool,2025-07-10T05:08:12.134308+00:00,0.6666666666666666,0.25,0.36363636363636365
A,taskA_7eccfij37,with_tool,2025-07-10T05:09:12.130614+00:00,0.6666666666666666,0.25,0.36363636363636365
A,taskA_7eccfij37,with_tool,2025-07-10T05:10:12.146103+00:00,0.6666666666666666,0.25,0.36363636363636365
A,taskA_7eccfij37,with_tool,2025-07-10T05:11:12.156506+00:00,0.6666666666666666,0.25,0.36363636363636365
A,taskA_7eccfij37,with_tool,2025-07-10T05:12:12.242357+00:00,0.6666666666666666,0.25,0.36363636363636365
A,taskA_7eccfij37,with_tool,2025-07-10T05:13:12.130404+00:00,0.6666666666666666,0.25,0.36363636363636365
A,taskA_7eccfij37,with_tool,2025-07-10T05:14:12.245452+00:00,0.6666666666666666,0.25,0.36363636363636365
A,taskA_7eccfij37,with_tool,2025-07-10T05:15:12.234806+00:00,0.75,0.375,0.5
A,taskA_7eccfij37,with_tool,2025-07-10T05:16:12.246170+00:00,0.75,0.375,0.5
A,taskA_7eccfij37,with_tool,2025-07-10T05:17:12.131322+00:00,0.75,0.375,0.5
A,taskA_7eccfij37,with_tool,2025-07-10T05:18:12.145812+00:00,0.75,0.375,0.5
A,taskA_7eccfij37,with_tool,2025-07-10T05:19:12.176142+00:00,0.75,0.375,0.5
A,taskA_7eccfij37,with_tool,2025-07-10T05:20:12.150815+00:00,0.75,0.375,0.5
A,taskA_7eccfij37,with_tool,2025-07-10T05:21:12.150954+00:00,0.75,0.375,0.5
A,taskA_7eccfij37,with_tool,2025-07-10T05:22:12.141342+00:00,0.75,0.375,0.5
A,taskA_7eccfij37,with_tool,2025-07-10T05:23:12.205906+00:00,0.75,0.375,0.5
A,taskA_7eccfij37,with_tool,2025-07-10T05:24:12.310019+00:00,0.75,0.375,0.5
A,taskA_7eccfij37,with_tool,2025-07-10T05:25:12.299549+00:00,0.75,0.375,0.5
A,taskA_7eccfij37,with_tool,2025-07-10T05:26:14.158349+00:00,0.75,0.375,0.5
