task_type,task_id,tool,time,precision,recall,f1
A,taskA_cmogo36cr,without_tool,1,0.0,0.0,0.0
A,taskA_cmogo36cr,without_tool,2,0.0,0.0,0.0
A,taskA_cmogo36cr,without_tool,3,0.0,0.0,0.0
A,taskA_cmogo36cr,without_tool,4,0.0,0.0,0.0
A,taskA_cmogo36cr,without_tool,5,0.0,0.0,0.0
A,taskA_cmogo36cr,without_tool,6,0.0,0.0,0.0
A,taskA_cmogo36cr,without_tool,7,0.0,0.0,0.0
A,taskA_cmogo36cr,without_tool,8,0.0,0.0,0.0
A,taskA_cmogo36cr,without_tool,9,0.0,0.0,0.0
A,taskA_cmogo36cr,without_tool,10,0.5,0.13,0.2
A,taskA_cmogo36cr,without_tool,11,0.67,0.25,0.36
A,taskA_cmogo36cr,without_tool,12,0.67,0.25,0.36
A,taskA_cmogo36cr,without_tool,13,0.67,0.25,0.36
A,taskA_cmogo36cr,without_tool,14,0.67,0.25,0.36
A,taskA_cmogo36cr,without_tool,15,0.67,0.25,0.36
A,taskA_cmogo36cr,without_tool,16,0.67,0.25,0.36
A,taskA_cmogo36cr,without_tool,17,0.67,0.25,0.36
A,taskA_cmogo36cr,without_tool,18,0.67,0.25,0.36
A,taskA_cmogo36cr,without_tool,19,0.67,0.25,0.36
A,taskA_cmogo36cr,without_tool,20,0.67,0.25,0.36
A,taskA_cmogo36cr,without_tool,21,0.67,0.25,0.36
A,taskA_cmogo36cr,without_tool,22,0.67,0.25,0.36
A,taskA_cmogo36cr,without_tool,23,1.0,0.38,0.55
A,taskA_cmogo36cr,without_tool,24,1.0,0.38,0.55
A,taskA_cmogo36cr,without_tool,25,1.0,0.38,0.55
A,taskA_cmogo36cr,without_tool,26,0.75,0.38,0.5
A,taskA_cmogo36cr,without_tool,27,0.75,0.38,0.5
A,taskA_cmogo36cr,without_tool,28,0.75,0.38,0.5
A,taskA_cmogo36cr,without_tool,29,0.75,0.38,0.5
A,taskA_cmogo36cr,without_tool,30,0.75,0.38,0.5
A,taskA_cmogo36cr,without_tool,31,0.75,0.38,0.5
