task_type,task_id,tool,time,precision,recall,f1
A,taskA_fty5syi8e,with_tool,1,0.0,0.0,0.0
A,taskA_fty5syi8e,with_tool,2,0.0,0.0,0.0
A,taskA_fty5syi8e,with_tool,3,0.0,0.0,0.0
A,taskA_fty5syi8e,with_tool,4,0.0,0.0,0.0
A,taskA_fty5syi8e,with_tool,5,0.0,0.0,0.0
A,taskA_fty5syi8e,with_tool,6,0.0,0.0,0.0
A,taskA_fty5syi8e,with_tool,7,0.0,0.0,0.0
A,taskA_fty5syi8e,with_tool,8,0.0,0.0,0.0
A,taskA_fty5syi8e,with_tool,9,1.0,0.13,0.22
A,taskA_fty5syi8e,with_tool,10,1.0,0.13,0.22
A,taskA_fty5syi8e,with_tool,11,1.0,0.13,0.22
A,taskA_fty5syi8e,with_tool,12,1.0,0.13,0.22
A,taskA_fty5syi8e,with_tool,13,1.0,0.38,0.55
A,taskA_fty5syi8e,with_tool,14,1.0,0.38,0.55
A,taskA_fty5syi8e,with_tool,15,1.0,0.38,0.55
A,taskA_fty5syi8e,with_tool,16,1.0,0.38,0.55
A,taskA_fty5syi8e,with_tool,17,1.0,0.38,0.55
A,taskA_fty5syi8e,with_tool,18,1.0,0.38,0.55
A,taskA_fty5syi8e,with_tool,19,1.0,0.5,0.67
A,taskA_fty5syi8e,with_tool,20,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,21,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,22,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,23,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,24,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,25,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,26,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,27,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,28,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,29,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,30,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,31,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,32,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,33,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,34,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,35,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,36,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,37,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,38,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,39,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,40,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,41,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,42,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,43,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,44,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,45,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,46,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,47,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,48,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,49,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,50,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,51,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,52,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,53,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,54,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,55,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,56,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,57,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,58,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,59,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,60,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,61,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,62,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,63,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,64,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,65,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,66,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,67,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,68,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,69,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,70,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,71,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,72,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,73,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,74,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,75,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,76,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,77,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,78,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,79,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,80,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,81,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,82,1.0,0.63,0.77
A,taskA_fty5syi8e,with_tool,83,1.0,0.63,0.77
