task_type,task_id,tool,time,precision,recall,f1
A,taskA_g2aqj7cec,with_tool,1,0.0,0.0,0.0
A,taskA_g2aqj7cec,with_tool,2,0.0,0.0,0.0
A,taskA_g2aqj7cec,with_tool,3,0.0,0.0,0.0
A,taskA_g2aqj7cec,with_tool,4,0.0,0.0,0.0
A,taskA_g2aqj7cec,with_tool,5,0.0,0.0,0.0
A,taskA_g2aqj7cec,with_tool,6,0.0,0.0,0.0
A,taskA_g2aqj7cec,with_tool,7,0.0,0.0,0.0
A,taskA_g2aqj7cec,with_tool,8,0.0,0.0,0.0
A,taskA_g2aqj7cec,with_tool,9,0.0,0.0,0.0
A,taskA_g2aqj7cec,with_tool,10,0.0,0.0,0.0
A,taskA_g2aqj7cec,with_tool,11,0.0,0.0,0.0
A,taskA_g2aqj7cec,with_tool,12,0.75,0.375,0.5
A,taskA_g2aqj7cec,with_tool,13,0.75,0.375,0.5
A,taskA_g2aqj7cec,with_tool,14,0.75,0.375,0.5
