task_type,task_id,tool,timestamp,precision,recall,f1
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:11:04.424436+00:00,1.0,0.125,0.2222222222222222
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:12:04.315683+00:00,1.0,0.125,0.2222222222222222
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:13:04.430724+00:00,1.0,0.125,0.2222222222222222
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:14:04.327333+00:00,1.0,0.125,0.2222222222222222
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:15:04.382432+00:00,1.0,0.125,0.2222222222222222
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:16:05.069555+00:00,1.0,0.125,0.2222222222222222
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:17:04.352852+00:00,1.0,0.125,0.2222222222222222
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:18:05.101018+00:00,1.0,0.125,0.2222222222222222
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:19:06.110222+00:00,1.0,0.125,0.2222222222222222
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:20:07.040392+00:00,1.0,0.125,0.2222222222222222
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:21:04.342250+00:00,1.0,0.125,0.2222222222222222
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:22:05.453504+00:00,1.0,0.125,0.2222222222222222
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:23:04.379963+00:00,0.5,0.125,0.2
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:24:04.351265+00:00,0.5,0.125,0.2
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:25:04.307559+00:00,0.5,0.125,0.2
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:26:04.392275+00:00,0.5,0.125,0.2
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:27:04.310206+00:00,0.5,0.125,0.2
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:28:04.348621+00:00,0.5,0.125,0.2
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:29:04.348369+00:00,0.5,0.125,0.2
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:30:04.305714+00:00,0.5,0.125,0.2
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:31:04.366010+00:00,0.5,0.125,0.2
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:32:04.325443+00:00,0.5,0.125,0.2
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:33:04.406221+00:00,0.5,0.125,0.2
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:34:04.337575+00:00,0.5,0.125,0.2
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:35:05.101373+00:00,0.5,0.125,0.2
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:36:06.023377+00:00,0.5,0.125,0.2
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:37:05.027187+00:00,0.5,0.125,0.2
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:38:06.095177+00:00,0.5,0.125,0.2
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:39:07.066726+00:00,0.5,0.125,0.2
A,taskA_oi5kk8chj,with_tool,2025-07-16T05:40:04.364689+00:00,0.5,0.125,0.2
