task_type,task_id,tool,time,precision,recall,f1
A,taskA_ooubfrt9m,with_tool,1,0.0,0.0,0.0
A,taskA_ooubfrt9m,with_tool,2,1.0,0.13,0.22
A,taskA_ooubfrt9m,with_tool,3,1.0,0.13,0.22
A,taskA_ooubfrt9m,with_tool,4,1.0,0.13,0.22
A,taskA_ooubfrt9m,with_tool,5,1.0,0.13,0.22
A,taskA_ooubfrt9m,with_tool,6,1.0,0.13,0.22
A,taskA_ooubfrt9m,with_tool,7,1.0,0.13,0.22
A,taskA_ooubfrt9m,with_tool,8,0.0,0.0,0.0
A,taskA_ooubfrt9m,with_tool,9,1.0,0.13,0.22
A,taskA_ooubfrt9m,with_tool,10,1.0,0.13,0.22
A,taskA_ooubfrt9m,with_tool,11,1.0,0.13,0.22
A,taskA_ooubfrt9m,with_tool,12,1.0,0.13,0.22
A,taskA_ooubfrt9m,with_tool,13,1.0,0.13,0.22
A,taskA_ooubfrt9m,with_tool,14,1.0,0.25,0.4
A,taskA_ooubfrt9m,with_tool,15,1.0,0.25,0.4
A,taskA_ooubfrt9m,with_tool,16,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,17,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,18,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,19,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,20,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,21,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,22,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,23,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,24,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,25,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,26,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,27,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,28,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,29,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,30,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,31,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,32,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,33,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,34,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,35,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,36,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,37,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,38,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,39,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,40,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,41,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,42,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,43,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,44,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,45,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,46,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,47,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,48,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,49,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,50,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,51,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,52,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,53,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,54,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,55,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,56,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,57,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,58,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,59,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,60,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,61,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,62,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,63,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,64,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,65,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,66,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,67,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,68,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,69,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,70,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,71,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,72,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,73,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,74,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,75,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,76,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,77,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,78,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,79,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,80,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,81,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,82,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,83,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,84,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,85,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,86,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,87,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,88,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,89,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,90,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,91,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,92,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,93,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,94,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,95,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,96,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,97,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,98,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,99,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,100,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,101,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,102,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,103,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,104,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,105,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,106,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,107,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,108,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,109,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,110,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,111,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,112,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,113,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,114,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,115,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,116,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,117,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,118,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,119,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,120,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,121,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,122,1.0,0.38,0.55
A,taskA_ooubfrt9m,with_tool,123,1.0,0.38,0.55
