task_type,task_id,tool,timestamp,precision,recall,f1
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:05:24.076540+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:06:24.074267+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:07:24.082143+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:08:24.075767+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:09:24.087928+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:10:23.386614+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:11:23.392931+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:12:23.398377+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:13:23.391274+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:14:23.404755+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:15:23.399502+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:16:23.466697+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:17:23.383472+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:18:23.410569+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:19:23.371853+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:20:23.383809+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:21:23.378489+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:22:24.084453+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:23:25.098062+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:24:23.494014+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:25:23.396023+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:26:23.401651+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:27:23.411017+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:28:23.381791+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:29:23.387773+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:30:23.405872+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:31:23.391158+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:32:23.430181+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:33:24.080124+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:34:25.090042+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:35:26.132544+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:36:24.090631+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:37:24.181756+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:38:23.392186+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:39:24.089875+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:40:24.077361+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:41:25.119185+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:42:26.090503+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:43:27.111232+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:44:28.115585+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:45:29.110173+00:00,0.0,0.0,0.0
A,taskA_pg00yjnn2,with_tool,2025-07-16T05:46:24.066167+00:00,0.0,0.0,0.0
