task_type,task_id,tool,timestamp,precision,recall,f1
A,taskA_pwl73z2il,with_tool,2025-07-16T04:33:21.325658+00:00,0.0,0.0,0.0
A,taskA_pwl73z2il,with_tool,2025-07-16T04:34:20.452999+00:00,0.0,0.0,0.0
A,taskA_pwl73z2il,with_tool,2025-07-16T04:35:20.455721+00:00,1.0,0.125,0.2222222222222222
A,taskA_pwl73z2il,with_tool,2025-07-16T04:36:20.452275+00:00,1.0,0.125,0.2222222222222222
A,taskA_pwl73z2il,with_tool,2025-07-16T04:37:20.508804+00:00,1.0,0.125,0.2222222222222222
A,taskA_pwl73z2il,with_tool,2025-07-16T04:38:20.486107+00:00,1.0,0.125,0.2222222222222222
A,taskA_pwl73z2il,with_tool,2025-07-16T04:39:20.519924+00:00,1.0,0.125,0.2222222222222222
A,taskA_pwl73z2il,with_tool,2025-07-16T04:40:20.472508+00:00,1.0,0.125,0.2222222222222222
A,taskA_pwl73z2il,with_tool,2025-07-16T04:41:20.546892+00:00,1.0,0.125,0.2222222222222222
A,taskA_pwl73z2il,with_tool,2025-07-16T04:42:20.477236+00:00,1.0,0.125,0.2222222222222222
A,taskA_pwl73z2il,with_tool,2025-07-16T04:43:20.510456+00:00,1.0,0.125,0.2222222222222222
A,taskA_pwl73z2il,with_tool,2025-07-16T04:44:20.459585+00:00,1.0,0.125,0.2222222222222222
A,taskA_pwl73z2il,with_tool,2025-07-16T04:45:20.499626+00:00,1.0,0.125,0.2222222222222222
A,taskA_pwl73z2il,with_tool,2025-07-16T04:46:20.467119+00:00,1.0,0.125,0.2222222222222222
A,taskA_pwl73z2il,with_tool,2025-07-16T04:47:20.552827+00:00,1.0,0.125,0.2222222222222222
A,taskA_pwl73z2il,with_tool,2025-07-16T04:48:20.590726+00:00,1.0,0.125,0.2222222222222222
A,taskA_pwl73z2il,with_tool,2025-07-16T04:49:20.529989+00:00,1.0,0.125,0.2222222222222222
A,taskA_pwl73z2il,with_tool,2025-07-16T04:50:20.482232+00:00,1.0,0.125,0.2222222222222222
A,taskA_pwl73z2il,with_tool,2025-07-16T04:51:20.512491+00:00,1.0,0.125,0.2222222222222222
A,taskA_pwl73z2il,with_tool,2025-07-16T04:52:20.460400+00:00,1.0,0.25,0.4
A,taskA_pwl73z2il,with_tool,2025-07-16T04:53:20.500034+00:00,1.0,0.25,0.4
A,taskA_pwl73z2il,with_tool,2025-07-16T04:54:20.476914+00:00,1.0,0.25,0.4
A,taskA_pwl73z2il,with_tool,2025-07-16T04:55:20.542629+00:00,1.0,0.25,0.4
A,taskA_pwl73z2il,with_tool,2025-07-16T04:56:20.482091+00:00,1.0,0.25,0.4
A,taskA_pwl73z2il,with_tool,2025-07-16T04:57:20.546250+00:00,1.0,0.25,0.4
A,taskA_pwl73z2il,with_tool,2025-07-16T04:58:20.477597+00:00,1.0,0.25,0.4
A,taskA_pwl73z2il,with_tool,2025-07-16T04:59:20.514019+00:00,1.0,0.375,0.5454545454545454
A,taskA_pwl73z2il,with_tool,2025-07-16T05:00:21.308654+00:00,1.0,0.375,0.5454545454545454
