task_type,task_id,tool,time,precision,recall,f1
A,taskA_uziabfbk1,with_tool,1,0.0,0.0,0.0
A,taskA_uziabfbk1,with_tool,2,0.0,0.0,0.0
A,taskA_uziabfbk1,with_tool,3,0.0,0.0,0.0
A,taskA_uziabfbk1,with_tool,4,0.0,0.0,0.0
A,taskA_uziabfbk1,with_tool,5,0.0,0.0,0.0
A,taskA_uziabfbk1,with_tool,6,0.0,0.0,0.0
A,taskA_uziabfbk1,with_tool,7,0.0,0.0,0.0
A,taskA_uziabfbk1,with_tool,8,0.5,0.125,0.2
A,taskA_uziabfbk1,with_tool,9,0.3333333333333333,0.125,0.18181818181818182
A,taskA_uziabfbk1,with_tool,10,0.3333333333333333,0.125,0.18181818181818182
A,taskA_uziabfbk1,with_tool,11,0.3333333333333333,0.125,0.18181818181818182
A,taskA_uziabfbk1,with_tool,12,0.3333333333333333,0.125,0.18181818181818182
A,taskA_uziabfbk1,with_tool,13,0.3333333333333333,0.125,0.18181818181818182
A,taskA_uziabfbk1,with_tool,14,0.3333333333333333,0.125,0.18181818181818182
A,taskA_uziabfbk1,with_tool,15,0.3333333333333333,0.125,0.18181818181818182
A,taskA_uziabfbk1,with_tool,16,0.3333333333333333,0.125,0.18181818181818182
A,taskA_uziabfbk1,with_tool,17,0.25,0.125,0.16666666666666666
A,taskA_uziabfbk1,with_tool,18,0.6,0.375,0.4615384615384615
A,taskA_uziabfbk1,with_tool,19,0.6,0.375,0.4615384615384615
A,taskA_uziabfbk1,with_tool,20,0.6,0.375,0.4615384615384615
A,taskA_uziabfbk1,with_tool,21,0.6666666666666666,0.5,0.5714285714285715
A,taskA_uziabfbk1,with_tool,22,0.6666666666666666,0.5,0.5714285714285715
A,taskA_uziabfbk1,with_tool,23,0.6666666666666666,0.5,0.5714285714285715
A,taskA_uziabfbk1,with_tool,24,0.6666666666666666,0.5,0.5714285714285715
A,taskA_uziabfbk1,with_tool,25,0.6666666666666666,0.5,0.5714285714285715
A,taskA_uziabfbk1,with_tool,26,0.6666666666666666,0.5,0.5714285714285715
A,taskA_uziabfbk1,with_tool,27,0.6666666666666666,0.5,0.5714285714285715
A,taskA_uziabfbk1,with_tool,28,0.6666666666666666,0.5,0.5714285714285715
A,taskA_uziabfbk1,with_tool,29,0.6666666666666666,0.5,0.5714285714285715
A,taskA_uziabfbk1,with_tool,30,0.6666666666666666,0.5,0.5714285714285715
A,taskA_uziabfbk1,with_tool,31,0.6666666666666666,0.5,0.5714285714285715
A,taskA_uziabfbk1,with_tool,32,0.6666666666666666,0.5,0.5714285714285715
A,taskA_uziabfbk1,with_tool,33,0.6666666666666666,0.5,0.5714285714285715
A,taskA_uziabfbk1,with_tool,34,0.6666666666666666,0.5,0.5714285714285715
A,taskA_uziabfbk1,with_tool,35,0.6666666666666666,0.5,0.5714285714285715
