task_type,task_id,tool,timestamp,precision,recall,f1
B,taskB_00p7058bk,with_tool,2025-07-16T05:11:06.215325+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:12:05.536356+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:13:05.462753+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:14:05.418351+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:15:05.416120+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:17:05.420097+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:19:05.411599+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:20:05.417415+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:21:05.413916+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:22:05.411750+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:23:05.405935+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:24:05.410433+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:25:05.424205+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:26:05.412006+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:27:05.424531+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:28:05.407780+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:29:05.408771+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:30:05.427395+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:31:05.413348+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:33:05.418833+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:34:05.418843+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:35:05.411106+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:36:05.414899+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:37:06.214554+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:38:07.208342+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:39:05.458185+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:40:05.479485+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:41:06.211267+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:42:07.288251+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:43:08.210430+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:50:36.343180+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:51:36.270696+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:52:37.308141+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:53:36.248101+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:54:36.293377+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:55:36.250898+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:56:36.304955+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:57:36.225337+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T05:58:36.323378+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T06:12:31.173781+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T06:13:28.334587+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T06:14:29.341114+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T06:15:30.335713+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T06:16:31.343029+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T06:17:32.333483+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T06:18:33.381533+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T06:19:34.379417+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T06:20:35.332335+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T06:21:36.347804+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T06:22:37.273073+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T06:58:58.979978+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T06:59:36.448789+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T07:12:58.500450+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T09:13:36.627455+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T09:14:36.493129+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T09:15:36.579552+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T09:16:36.515777+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T09:17:36.616093+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T09:18:36.492682+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T09:19:36.591319+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T09:20:36.523531+00:00,0.0,0.0,0.0
B,taskB_00p7058bk,with_tool,2025-07-16T09:21:36.601875+00:00,0.0,0.0,0.0
