task_type,task_id,tool,timestamp,precision,recall,f1
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:11:00.503883+00:00,0.0,0.0,0.0
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:12:00.395443+00:00,0.0,0.0,0.0
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:13:00.486204+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:14:00.398416+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:15:00.490417+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:16:00.388538+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:17:00.435082+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:18:00.403278+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:19:00.483578+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:20:00.391701+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:21:00.458637+00:00,1.0,0.18181818181818182,0.3076923076923077
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:22:00.910195+00:00,1.0,0.18181818181818182,0.3076923076923077
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:23:01.922170+00:00,1.0,0.18181818181818182,0.3076923076923077
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:24:02.911398+00:00,1.0,0.18181818181818182,0.3076923076923077
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:25:00.310069+00:00,1.0,0.18181818181818182,0.3076923076923077
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:26:00.311430+00:00,1.0,0.18181818181818182,0.3076923076923077
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:27:00.455936+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:28:00.416621+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:29:00.374815+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:30:00.442591+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:31:01.029645+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:32:00.376609+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:33:00.419526+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:34:00.371764+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:35:00.454544+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:36:01.025204+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:37:00.385364+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:38:00.362367+00:00,0.75,0.2727272727272727,0.39999999999999997
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:39:00.356028+00:00,0.75,0.2727272727272727,0.39999999999999997
B,taskB_1l5li1a8x,with_tool,2025-07-16T05:40:00.963076+00:00,0.75,0.2727272727272727,0.39999999999999997
