task_type,task_id,tool,time,precision,recall,f1
B,taskB_2zcho17r9,without_tool,1,0.0,0.0,0.0
B,taskB_2zcho17r9,without_tool,2,0.0,0.0,0.0
B,taskB_2zcho17r9,without_tool,3,0.0,0.0,0.0
B,taskB_2zcho17r9,without_tool,4,0.0,0.0,0.0
B,taskB_2zcho17r9,without_tool,5,0.0,0.0,0.0
B,taskB_2zcho17r9,without_tool,6,0.0,0.0,0.0
B,taskB_2zcho17r9,without_tool,7,0.0,0.0,0.0
B,taskB_2zcho17r9,without_tool,8,0.0,0.0,0.0
B,taskB_2zcho17r9,without_tool,9,1.0,0.09,0.17
B,taskB_2zcho17r9,without_tool,10,1.0,0.09,0.17
B,taskB_2zcho17r9,without_tool,11,1.0,0.18,0.31
B,taskB_2zcho17r9,without_tool,12,1.0,0.18,0.31
B,taskB_2zcho17r9,without_tool,13,1.0,0.18,0.31
B,taskB_2zcho17r9,without_tool,14,1.0,0.18,0.31
B,taskB_2zcho17r9,without_tool,15,1.0,0.27,0.43
B,taskB_2zcho17r9,without_tool,16,1.0,0.27,0.43
B,taskB_2zcho17r9,without_tool,17,1.0,0.27,0.43
B,taskB_2zcho17r9,without_tool,18,1.0,0.27,0.43
B,taskB_2zcho17r9,without_tool,19,1.0,0.27,0.43
B,taskB_2zcho17r9,without_tool,20,1.0,0.36,0.53
B,taskB_2zcho17r9,without_tool,21,1.0,0.36,0.53
B,taskB_2zcho17r9,without_tool,22,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,23,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,24,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,25,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,26,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,27,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,28,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,29,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,30,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,31,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,32,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,33,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,34,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,35,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,36,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,37,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,38,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,39,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,40,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,41,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,42,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,43,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,44,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,45,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,46,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,47,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,48,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,49,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,50,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,51,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,52,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,53,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,54,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,55,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,56,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,57,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,58,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,59,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,60,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,61,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,62,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,63,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,64,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,65,1.0,0.45,0.63
B,taskB_2zcho17r9,without_tool,66,1.0,0.45,0.63
