task_type,task_id,tool,time,precision,recall,f1
B,taskB_3qosd4j5p,without_tool,1,0.0,0.0,0.0
B,taskB_3qosd4j5p,without_tool,2,0.0,0.0,0.0
B,taskB_3qosd4j5p,without_tool,3,0.0,0.0,0.0
B,taskB_3qosd4j5p,without_tool,4,0.0,0.0,0.0
B,taskB_3qosd4j5p,without_tool,5,0.0,0.0,0.0
B,taskB_3qosd4j5p,without_tool,6,0.0,0.0,0.0
B,taskB_3qosd4j5p,without_tool,7,0.0,0.0,0.0
B,taskB_3qosd4j5p,without_tool,8,0.0,0.0,0.0
B,taskB_3qosd4j5p,without_tool,9,0.0,0.0,0.0
B,taskB_3qosd4j5p,without_tool,10,0.0,0.0,0.0
B,taskB_3qosd4j5p,without_tool,11,0.0,0.0,0.0
B,taskB_3qosd4j5p,without_tool,12,0.0,0.0,0.0
B,taskB_3qosd4j5p,without_tool,13,0.0,0.0,0.0
B,taskB_3qosd4j5p,without_tool,14,0.0,0.0,0.0
B,taskB_3qosd4j5p,without_tool,15,0.0,0.0,0.0
B,taskB_3qosd4j5p,without_tool,16,0.5,0.2727272727272727,0.3529411764705882
B,taskB_3qosd4j5p,without_tool,17,0.5,0.2727272727272727,0.3529411764705882
B,taskB_3qosd4j5p,without_tool,18,0.5,0.2727272727272727,0.3529411764705882
