task_type,task_id,tool,timestamp,precision,recall,f1
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:11:03.349750+00:00,0.0,0.0,0.0
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:12:03.297274+00:00,0.0,0.0,0.0
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:13:03.323483+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:14:03.314065+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:15:03.309612+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:16:03.313649+00:00,1.0,0.18181818181818182,0.3076923076923077
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:17:04.300787+00:00,1.0,0.18181818181818182,0.3076923076923077
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:18:03.311132+00:00,1.0,0.18181818181818182,0.3076923076923077
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:19:03.348406+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:20:03.319644+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:21:03.333084+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:22:03.342340+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:23:03.336846+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:24:03.328283+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:25:03.360296+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:26:03.314725+00:00,1.0,0.36363636363636365,0.5333333333333333
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:27:03.322020+00:00,1.0,0.36363636363636365,0.5333333333333333
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:28:03.319268+00:00,1.0,0.36363636363636365,0.5333333333333333
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:29:03.373002+00:00,1.0,0.36363636363636365,0.5333333333333333
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:30:03.332700+00:00,1.0,0.36363636363636365,0.5333333333333333
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:31:03.316274+00:00,1.0,0.36363636363636365,0.5333333333333333
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:32:03.317474+00:00,1.0,0.36363636363636365,0.5333333333333333
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:33:03.347596+00:00,1.0,0.36363636363636365,0.5333333333333333
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:34:03.320306+00:00,1.0,0.36363636363636365,0.5333333333333333
B,taskB_4uyhuqpxd,with_tool,2025-07-16T05:35:03.371308+00:00,1.0,0.36363636363636365,0.5333333333333333
