task_type,task_id,tool,timestamp,precision,recall,f1
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:35:54.535209+00:00,0.0,0.0,0.0
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:36:54.532680+00:00,0.0,0.0,0.0
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:37:54.512095+00:00,0.0,0.0,0.0
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:38:54.507593+00:00,0.0,0.0,0.0
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:39:54.533177+00:00,0.0,0.0,0.0
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:40:54.532603+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:41:54.534003+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:42:54.533886+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:43:54.502614+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:44:54.511206+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:45:54.531177+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:46:54.528793+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:47:55.535106+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:48:56.539589+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:49:54.530204+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:50:55.533955+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:51:56.536059+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:52:54.538429+00:00,1.0,0.09090909090909091,0.16666666666666669
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:53:54.536420+00:00,1.0,0.18181818181818182,0.3076923076923077
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:54:54.531500+00:00,1.0,0.18181818181818182,0.3076923076923077
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:55:54.531212+00:00,1.0,0.18181818181818182,0.3076923076923077
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:56:54.504325+00:00,1.0,0.18181818181818182,0.3076923076923077
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:57:54.533488+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:58:54.534655+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_fi6on6b9b,with_tool,2025-07-16T04:59:55.534515+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_fi6on6b9b,with_tool,2025-07-16T05:00:56.545578+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_fi6on6b9b,with_tool,2025-07-16T05:01:57.531974+00:00,1.0,0.2727272727272727,0.42857142857142855
B,taskB_fi6on6b9b,with_tool,2025-07-16T05:02:54.531552+00:00,1.0,0.2727272727272727,0.42857142857142855
