task_type,task_id,tool,time,precision,recall,f1
B,taskB_oza8au5km,with_tool,1,0.0,0.0,0.0
B,taskB_oza8au5km,with_tool,2,0.0,0.0,0.0
B,taskB_oza8au5km,with_tool,3,0.0,0.0,0.0
B,taskB_oza8au5km,with_tool,4,0.0,0.0,0.0
B,taskB_oza8au5km,with_tool,5,0.0,0.0,0.0
B,taskB_oza8au5km,with_tool,6,0.0,0.0,0.0
B,taskB_oza8au5km,with_tool,7,0.0,0.0,0.0
B,taskB_oza8au5km,with_tool,8,1.0,0.09,0.17
B,taskB_oza8au5km,with_tool,9,1.0,0.09,0.17
B,taskB_oza8au5km,with_tool,10,1.0,0.09,0.17
B,taskB_oza8au5km,with_tool,11,1.0,0.09,0.17
B,taskB_oza8au5km,with_tool,12,1.0,0.18,0.31
B,taskB_oza8au5km,with_tool,13,1.0,0.18,0.31
B,taskB_oza8au5km,with_tool,14,1.0,0.18,0.31
B,taskB_oza8au5km,with_tool,15,1.0,0.18,0.31
B,taskB_oza8au5km,with_tool,16,0.67,0.18,0.29
B,taskB_oza8au5km,with_tool,17,0.67,0.18,0.29
B,taskB_oza8au5km,with_tool,18,0.5,0.18,0.27
B,taskB_oza8au5km,with_tool,19,0.5,0.18,0.27
B,taskB_oza8au5km,with_tool,20,0.5,0.18,0.27
B,taskB_oza8au5km,with_tool,21,0.5,0.18,0.27
B,taskB_oza8au5km,with_tool,22,0.5,0.18,0.27
B,taskB_oza8au5km,with_tool,23,0.5,0.18,0.27
B,taskB_oza8au5km,with_tool,24,0.5,0.18,0.27
B,taskB_oza8au5km,with_tool,25,0.5,0.18,0.27
B,taskB_oza8au5km,with_tool,26,0.5,0.18,0.27
B,taskB_oza8au5km,with_tool,27,0.5,0.18,0.27
B,taskB_oza8au5km,with_tool,28,0.5,0.18,0.27
B,taskB_oza8au5km,with_tool,29,0.5,0.18,0.27
B,taskB_oza8au5km,with_tool,30,0.6,0.27,0.37
B,taskB_oza8au5km,with_tool,31,0.6,0.27,0.37
B,taskB_oza8au5km,with_tool,32,0.6,0.27,0.37
B,taskB_oza8au5km,with_tool,33,0.6,0.27,0.37
B,taskB_oza8au5km,with_tool,34,0.6,0.27,0.37
B,taskB_oza8au5km,with_tool,35,0.6,0.27,0.37
