task_type,task_id,tool,time,precision,recall,f1
B,taskB_pe3456gbh,without_tool,1,0.0,0.0,0.0
B,taskB_pe3456gbh,without_tool,2,0.0,0.0,0.0
B,taskB_pe3456gbh,without_tool,3,0.0,0.0,0.0
B,taskB_pe3456gbh,without_tool,4,0.0,0.0,0.0
B,taskB_pe3456gbh,without_tool,5,0.0,0.0,0.0
B,taskB_pe3456gbh,without_tool,6,0.0,0.0,0.0
B,taskB_pe3456gbh,without_tool,7,0.0,0.0,0.0
B,taskB_pe3456gbh,without_tool,8,0.0,0.0,0.0
B,taskB_pe3456gbh,without_tool,9,0.0,0.0,0.0
B,taskB_pe3456gbh,without_tool,10,0.0,0.0,0.0
B,taskB_pe3456gbh,without_tool,11,0.0,0.0,0.0
B,taskB_pe3456gbh,without_tool,12,0.0,0.0,0.0
B,taskB_pe3456gbh,without_tool,13,1.0,0.09090909090909091,0.16666666666666669
B,taskB_pe3456gbh,without_tool,14,1.0,0.09090909090909091,0.16666666666666669
B,taskB_pe3456gbh,without_tool,15,1.0,0.18181818181818182,0.3076923076923077
B,taskB_pe3456gbh,without_tool,16,1.0,0.18181818181818182,0.3076923076923077
B,taskB_pe3456gbh,without_tool,17,1.0,0.18181818181818182,0.3076923076923077
B,taskB_pe3456gbh,without_tool,18,1.0,0.18181818181818182,0.3076923076923077
B,taskB_pe3456gbh,without_tool,19,1.0,0.18181818181818182,0.3076923076923077
B,taskB_pe3456gbh,without_tool,20,1.0,0.18181818181818182,0.3076923076923077
B,taskB_pe3456gbh,without_tool,21,1.0,0.18181818181818182,0.3076923076923077
B,taskB_pe3456gbh,without_tool,22,1.0,0.18181818181818182,0.3076923076923077
B,taskB_pe3456gbh,without_tool,23,1.0,0.18181818181818182,0.3076923076923077
B,taskB_pe3456gbh,without_tool,24,1.0,0.18181818181818182,0.3076923076923077
B,taskB_pe3456gbh,without_tool,25,1.0,0.18181818181818182,0.3076923076923077
B,taskB_pe3456gbh,without_tool,26,1.0,0.18181818181818182,0.3076923076923077
B,taskB_pe3456gbh,without_tool,27,1.0,0.18181818181818182,0.3076923076923077
B,taskB_pe3456gbh,without_tool,28,1.0,0.18181818181818182,0.3076923076923077
