task_type,task_id,tool,time,precision,recall,f1
B,taskB_s4o7tdqqs,with_tool,1,0.0,0.0,0.0
B,taskB_s4o7tdqqs,with_tool,2,0.0,0.0,0.0
B,taskB_s4o7tdqqs,with_tool,3,0.0,0.0,0.0
B,taskB_s4o7tdqqs,with_tool,4,0.0,0.0,0.0
B,taskB_s4o7tdqqs,with_tool,5,0.0,0.0,0.0
B,taskB_s4o7tdqqs,with_tool,6,0.0,0.0,0.0
B,taskB_s4o7tdqqs,with_tool,7,0.0,0.0,0.0
B,taskB_s4o7tdqqs,with_tool,8,0.0,0.0,0.0
B,taskB_s4o7tdqqs,with_tool,9,0.0,0.0,0.0
B,taskB_s4o7tdqqs,with_tool,10,0.0,0.0,0.0
B,taskB_s4o7tdqqs,with_tool,11,0.0,0.0,0.0
B,taskB_s4o7tdqqs,with_tool,12,0.0,0.0,0.0
B,taskB_s4o7tdqqs,with_tool,13,0.0,0.0,0.0
B,taskB_s4o7tdqqs,with_tool,14,0.0,0.0,0.0
B,taskB_s4o7tdqqs,with_tool,15,0.0,0.0,0.0
B,taskB_s4o7tdqqs,with_tool,16,0.75,0.27,0.4
B,taskB_s4o7tdqqs,with_tool,17,0.75,0.27,0.4
B,taskB_s4o7tdqqs,with_tool,18,0.75,0.27,0.4
B,taskB_s4o7tdqqs,with_tool,19,0.75,0.27,0.4
B,taskB_s4o7tdqqs,with_tool,20,0.75,0.27,0.4
B,taskB_s4o7tdqqs,with_tool,21,0.75,0.27,0.4
B,taskB_s4o7tdqqs,with_tool,22,0.75,0.27,0.4
B,taskB_s4o7tdqqs,with_tool,23,0.75,0.27,0.4
B,taskB_s4o7tdqqs,with_tool,24,0.75,0.27,0.4
B,taskB_s4o7tdqqs,with_tool,25,0.75,0.27,0.4
B,taskB_s4o7tdqqs,with_tool,26,1.0,0.36,0.53
B,taskB_s4o7tdqqs,with_tool,27,1.0,0.36,0.53
B,taskB_s4o7tdqqs,with_tool,28,1.0,0.36,0.53
B,taskB_s4o7tdqqs,with_tool,29,1.0,0.36,0.53
B,taskB_s4o7tdqqs,with_tool,30,1.0,0.36,0.53
B,taskB_s4o7tdqqs,with_tool,31,1.0,0.36,0.53
B,taskB_s4o7tdqqs,with_tool,32,1.0,0.36,0.53
B,taskB_s4o7tdqqs,with_tool,33,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,34,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,35,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,36,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,37,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,38,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,39,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,40,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,41,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,42,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,43,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,44,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,45,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,46,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,47,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,48,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,49,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,50,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,51,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,52,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,53,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,54,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,55,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,56,1.0,0.45,0.63
B,taskB_s4o7tdqqs,with_tool,57,1.0,0.45,0.63
