task_type,task_id,tool,time,precision,recall,f1
B,taskB_s6nn4lr7l,without_tool,1,0.0,0.0,0.0
B,taskB_s6nn4lr7l,without_tool,2,0.0,0.0,0.0
B,taskB_s6nn4lr7l,without_tool,3,0.0,0.0,0.0
B,taskB_s6nn4lr7l,without_tool,4,0.0,0.0,0.0
B,taskB_s6nn4lr7l,without_tool,5,0.0,0.0,0.0
B,taskB_s6nn4lr7l,without_tool,6,0.0,0.0,0.0
B,taskB_s6nn4lr7l,without_tool,7,0.0,0.0,0.0
B,taskB_s6nn4lr7l,without_tool,8,0.0,0.0,0.0
B,taskB_s6nn4lr7l,without_tool,9,0.0,0.0,0.0
B,taskB_s6nn4lr7l,without_tool,10,0.0,0.0,0.0
B,taskB_s6nn4lr7l,without_tool,11,0.0,0.0,0.0
B,taskB_s6nn4lr7l,without_tool,12,0.0,0.0,0.0
B,taskB_s6nn4lr7l,without_tool,13,0.0,0.0,0.0
B,taskB_s6nn4lr7l,without_tool,14,0.0,0.0,0.0
B,taskB_s6nn4lr7l,without_tool,15,1.0,0.09090909090909091,0.16666666666666669
B,taskB_s6nn4lr7l,without_tool,16,1.0,0.09090909090909091,0.16666666666666669
B,taskB_s6nn4lr7l,without_tool,17,1.0,0.09090909090909091,0.16666666666666669
B,taskB_s6nn4lr7l,without_tool,18,1.0,0.09090909090909091,0.16666666666666669
B,taskB_s6nn4lr7l,without_tool,19,1.0,0.09090909090909091,0.16666666666666669
B,taskB_s6nn4lr7l,without_tool,20,1.0,0.09090909090909091,0.16666666666666669
B,taskB_s6nn4lr7l,without_tool,21,1.0,0.09090909090909091,0.16666666666666669
B,taskB_s6nn4lr7l,without_tool,22,1.0,0.09090909090909091,0.16666666666666669
B,taskB_s6nn4lr7l,without_tool,23,1.0,0.09090909090909091,0.16666666666666669
B,taskB_s6nn4lr7l,without_tool,24,1.0,0.09090909090909091,0.16666666666666669
B,taskB_s6nn4lr7l,without_tool,25,1.0,0.09090909090909091,0.16666666666666669
B,taskB_s6nn4lr7l,without_tool,26,1.0,0.09090909090909091,0.16666666666666669
B,taskB_s6nn4lr7l,without_tool,27,1.0,0.09090909090909091,0.16666666666666669
B,taskB_s6nn4lr7l,without_tool,28,1.0,0.18181818181818182,0.3076923076923077
B,taskB_s6nn4lr7l,without_tool,29,1.0,0.18181818181818182,0.3076923076923077
B,taskB_s6nn4lr7l,without_tool,30,1.0,0.18181818181818182,0.3076923076923077
B,taskB_s6nn4lr7l,without_tool,31,1.0,0.18181818181818182,0.3076923076923077
B,taskB_s6nn4lr7l,without_tool,32,1.0,0.18181818181818182,0.3076923076923077
B,taskB_s6nn4lr7l,without_tool,33,1.0,0.18181818181818182,0.3076923076923077
B,taskB_s6nn4lr7l,without_tool,34,1.0,0.18181818181818182,0.3076923076923077
B,taskB_s6nn4lr7l,without_tool,35,1.0,0.18181818181818182,0.3076923076923077
B,taskB_s6nn4lr7l,without_tool,36,1.0,0.18181818181818182,0.3076923076923077
B,taskB_s6nn4lr7l,without_tool,37,1.0,0.18181818181818182,0.3076923076923077
B,taskB_s6nn4lr7l,without_tool,38,1.0,0.18181818181818182,0.3076923076923077
B,taskB_s6nn4lr7l,without_tool,39,0.6666666666666666,0.18181818181818182,0.28571428571428575
B,taskB_s6nn4lr7l,without_tool,40,0.6666666666666666,0.18181818181818182,0.28571428571428575
B,taskB_s6nn4lr7l,without_tool,41,0.6666666666666666,0.18181818181818182,0.28571428571428575
B,taskB_s6nn4lr7l,without_tool,42,0.6666666666666666,0.18181818181818182,0.28571428571428575
