task_type,task_id,tool,time,precision,recall,f1
B,taskB_uj8xbw8f0,with_tool,1,0.0,0.0,0.0
B,taskB_uj8xbw8f0,with_tool,2,1.0,0.09,0.17
B,taskB_uj8xbw8f0,with_tool,3,1.0,0.18,0.31
B,taskB_uj8xbw8f0,with_tool,4,0.67,0.18,0.29
B,taskB_uj8xbw8f0,with_tool,5,0.67,0.18,0.29
B,taskB_uj8xbw8f0,with_tool,6,0.67,0.18,0.29
B,taskB_uj8xbw8f0,with_tool,7,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,8,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,9,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,10,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,11,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,12,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,13,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,14,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,15,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,16,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,17,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,18,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,19,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,20,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,21,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,22,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,23,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,24,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,25,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,26,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,27,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,28,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,29,0.75,0.27,0.4
B,taskB_uj8xbw8f0,with_tool,30,0.75,0.27,0.4
