task_type,task_id,tool,time,precision,recall,f1
B,taskB_ypch14cs1,without_tool,1,0.0,0.0,0.0
B,taskB_ypch14cs1,without_tool,2,1.0,0.09,0.17
B,taskB_ypch14cs1,without_tool,3,1.0,0.18,0.31
B,taskB_ypch14cs1,without_tool,4,1.0,0.18,0.31
B,taskB_ypch14cs1,without_tool,5,1.0,0.18,0.31
B,taskB_ypch14cs1,without_tool,6,1.0,0.18,0.31
B,taskB_ypch14cs1,without_tool,7,1.0,0.18,0.31
B,taskB_ypch14cs1,without_tool,8,1.0,0.18,0.31
B,taskB_ypch14cs1,without_tool,9,1.0,0.18,0.31
B,taskB_ypch14cs1,without_tool,10,1.0,0.27,0.43
B,taskB_ypch14cs1,without_tool,11,1.0,0.27,0.43
B,taskB_ypch14cs1,without_tool,12,1.0,0.27,0.43
B,taskB_ypch14cs1,without_tool,13,1.0,0.27,0.43
B,taskB_ypch14cs1,without_tool,14,1.0,0.36,0.53
B,taskB_ypch14cs1,without_tool,15,1.0,0.45,0.63
B,taskB_ypch14cs1,without_tool,16,1.0,0.45,0.63
B,taskB_ypch14cs1,without_tool,17,1.0,0.45,0.63
B,taskB_ypch14cs1,without_tool,18,1.0,0.45,0.63
B,taskB_ypch14cs1,without_tool,19,1.0,0.45,0.63
B,taskB_ypch14cs1,without_tool,20,0.8,0.36,0.5
B,taskB_ypch14cs1,without_tool,21,0.8,0.36,0.5
B,taskB_ypch14cs1,without_tool,22,0.8,0.36,0.5
B,taskB_ypch14cs1,without_tool,23,0.8,0.36,0.5
B,taskB_ypch14cs1,without_tool,24,0.8,0.36,0.5
B,taskB_ypch14cs1,without_tool,25,0.8,0.36,0.5
B,taskB_ypch14cs1,without_tool,26,0.8,0.36,0.5
B,taskB_ypch14cs1,without_tool,27,0.8,0.36,0.5
B,taskB_ypch14cs1,without_tool,28,0.8,0.36,0.5
B,taskB_ypch14cs1,without_tool,29,0.8,0.36,0.5
B,taskB_ypch14cs1,without_tool,30,0.8,0.36,0.5
