task_type,task_id,tool,time,precision,recall,f1
B,taskB_zptb5ir3t,with_tool,1,0.0,0.0,0.0
B,taskB_zptb5ir3t,with_tool,2,1.0,0.09,0.17
B,taskB_zptb5ir3t,with_tool,3,0.5,0.09,0.15
B,taskB_zptb5ir3t,with_tool,4,0.5,0.09,0.15
B,taskB_zptb5ir3t,with_tool,5,0.5,0.09,0.15
B,taskB_zptb5ir3t,with_tool,6,0.5,0.09,0.15
B,taskB_zptb5ir3t,with_tool,7,0.5,0.09,0.15
B,taskB_zptb5ir3t,with_tool,8,0.67,0.18,0.29
B,taskB_zptb5ir3t,with_tool,9,0.67,0.18,0.29
B,taskB_zptb5ir3t,with_tool,10,0.67,0.18,0.29
B,taskB_zptb5ir3t,with_tool,11,0.67,0.18,0.29
B,taskB_zptb5ir3t,with_tool,12,0.67,0.18,0.29
B,taskB_zptb5ir3t,with_tool,13,0.67,0.18,0.29
B,taskB_zptb5ir3t,with_tool,14,0.67,0.18,0.29
B,taskB_zptb5ir3t,with_tool,15,0.67,0.18,0.29
B,taskB_zptb5ir3t,with_tool,16,0.75,0.27,0.4
B,taskB_zptb5ir3t,with_tool,17,0.8,0.36,0.5
B,taskB_zptb5ir3t,with_tool,18,0.8,0.36,0.5
B,taskB_zptb5ir3t,with_tool,19,0.8,0.36,0.5
B,taskB_zptb5ir3t,with_tool,20,0.8,0.36,0.5
B,taskB_zptb5ir3t,with_tool,21,0.8,0.36,0.5
B,taskB_zptb5ir3t,with_tool,22,0.8,0.36,0.5
B,taskB_zptb5ir3t,with_tool,23,0.8,0.36,0.5
B,taskB_zptb5ir3t,with_tool,24,0.8,0.36,0.5
B,taskB_zptb5ir3t,with_tool,25,0.8,0.36,0.5
B,taskB_zptb5ir3t,with_tool,26,0.8,0.36,0.5
B,taskB_zptb5ir3t,with_tool,27,1.0,0.45,0.63
B,taskB_zptb5ir3t,with_tool,28,0.83,0.45,0.59
B,taskB_zptb5ir3t,with_tool,29,0.83,0.45,0.59
B,taskB_zptb5ir3t,with_tool,30,0.83,0.45,0.59
B,taskB_zptb5ir3t,with_tool,31,0.83,0.45,0.59
B,taskB_zptb5ir3t,with_tool,32,0.83,0.45,0.59
B,taskB_zptb5ir3t,with_tool,33,0.83,0.45,0.59
B,taskB_zptb5ir3t,with_tool,34,0.83,0.45,0.59
B,taskB_zptb5ir3t,with_tool,35,0.83,0.45,0.59
B,taskB_zptb5ir3t,with_tool,36,0.83,0.45,0.59
B,taskB_zptb5ir3t,with_tool,37,0.83,0.45,0.59
B,taskB_zptb5ir3t,with_tool,38,0.83,0.45,0.59
B,taskB_zptb5ir3t,with_tool,39,0.83,0.45,0.59
B,taskB_zptb5ir3t,with_tool,40,0.83,0.45,0.59
B,taskB_zptb5ir3t,with_tool,41,0.83,0.45,0.59
B,taskB_zptb5ir3t,with_tool,42,0.83,0.45,0.59
B,taskB_zptb5ir3t,with_tool,43,0.83,0.45,0.59
B,taskB_zptb5ir3t,with_tool,44,0.83,0.45,0.59
