task_type,task_id,tool,time,precision,recall,f1
B,taskB_zv2jt4viw,with_tool,1,0.0,0.0,0.0
B,taskB_zv2jt4viw,with_tool,2,0.0,0.0,0.0
B,taskB_zv2jt4viw,with_tool,3,0.0,0.0,0.0
B,taskB_zv2jt4viw,with_tool,4,0.0,0.0,0.0
B,taskB_zv2jt4viw,with_tool,5,1.0,0.09,0.17
B,taskB_zv2jt4viw,with_tool,6,1.0,0.09,0.17
B,taskB_zv2jt4viw,with_tool,7,0.5,0.09,0.15
B,taskB_zv2jt4viw,with_tool,8,0.5,0.09,0.15
B,taskB_zv2jt4viw,with_tool,9,0.5,0.09,0.15
B,taskB_zv2jt4viw,with_tool,10,0.5,0.09,0.15
B,taskB_zv2jt4viw,with_tool,11,0.5,0.09,0.15
B,taskB_zv2jt4viw,with_tool,12,0.5,0.09,0.15
B,taskB_zv2jt4viw,with_tool,13,0.67,0.18,0.29
B,taskB_zv2jt4viw,with_tool,14,0.67,0.18,0.29
B,taskB_zv2jt4viw,with_tool,15,0.67,0.18,0.29
B,taskB_zv2jt4viw,with_tool,16,0.67,0.18,0.29
B,taskB_zv2jt4viw,with_tool,17,0.67,0.18,0.29
B,taskB_zv2jt4viw,with_tool,18,0.67,0.18,0.29
B,taskB_zv2jt4viw,with_tool,19,0.67,0.18,0.29
B,taskB_zv2jt4viw,with_tool,20,0.67,0.18,0.29
B,taskB_zv2jt4viw,with_tool,21,0.75,0.27,0.4
B,taskB_zv2jt4viw,with_tool,22,0.75,0.27,0.4
B,taskB_zv2jt4viw,with_tool,23,0.5,0.18,0.27
B,taskB_zv2jt4viw,with_tool,24,0.5,0.18,0.27
B,taskB_zv2jt4viw,with_tool,25,0.5,0.18,0.27
B,taskB_zv2jt4viw,with_tool,26,0.5,0.18,0.27
B,taskB_zv2jt4viw,with_tool,27,0.5,0.18,0.27
B,taskB_zv2jt4viw,with_tool,28,0.4,0.18,0.25
B,taskB_zv2jt4viw,with_tool,29,0.4,0.18,0.25
B,taskB_zv2jt4viw,with_tool,30,0.33,0.18,0.24
B,taskB_zv2jt4viw,with_tool,31,0.33,0.18,0.24
B,taskB_zv2jt4viw,with_tool,32,0.33,0.18,0.24
